year,Severity,rep,log_response
2019,0,A,0
2019,0,B,0
2019,0,C,0
2019,0,D,0
2019,45,A,0.087505
2019,45,B,0.0438362
2019,45,C,0.1821244
2019,45,D,-0.409166
2019,65,A,0.0533735
2019,65,B,-0.342312
2019,65,C,0.0608016
2019,65,D,0.2278127
2019,85,A,-0.1063925
2019,85,B,0.0469478
2019,85,C,0.1581098
2019,85,D,-0.0027635
2020,0,A,0
2020,0,B,0
2020,0,C,0
2020,0,D,0
2020,45,A,-0.0613546
2020,45,B,-0.0695269
2020,45,C,0.0085923
2020,45,D,-0.0395826
2020,65,A,-0.0999339
2020,65,B,-0.5281185
2020,65,C,0.0352145
2020,65,D,-0.1843662
2020,85,A,-0.2353374
2020,85,B,-0.1234383
2020,85,C,0.1163773
2020,85,D,0.0742122